iteration,time_spea2,time_nsgaii_1,time_nsgaii_2,time_nsgaii_3,time_nsgaii_4,bestT_spea2,bestT_nsgaii_1,bestT_nsgaii_2,bestT_nsgaii_3,bestT_nsgaii_4,bestU_spea2,bestU_nsgaii_1,bestU_nsgaii_2,bestU_nsgaii_3,bestU_nsgaii_4
0,13837,9274,13011,14292,6219,4320,4520,4620,4420,4620,67.15581644,67.15581644,67.15581644,67.15581644,66.33018328
1,14208,8472,12721,14297,6556,4420,4720,4620,4320,4320,68.63538296,66.33018328,68.63538296,67.15581644,67.59656652
2,13294,8873,13001,14097,6111,4420,4420,4820,4620,4620,68.63538296,67.15581644,68.63538296,67.15581644,65.98288076
3,13088,8508,13005,14975,6303,4420,4320,4820,4520,4520,67.15581644,65.84507042,68.63538296,68.63538296,65.87048832
4,13176,8563,13274,14658,6437,4320,4520,4980,4320,4520,68.63538296,67.23585912,67.15581644,68.63538296,67.09694415
5,13769,8386,13269,14349,7036,4320,4420,4720,4320,4420,68.63538296,67.38790407,67.15581644,67.15581644,67.23585912
6,13249,8570,12553,14077,6339,4420,4820,4820,4620,4920,68.63538296,66.71146953,67.15581644,68.63538296,66.156283
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
iteration,0,1,2,3,4,5,6,,,,,,,,
time_spea2,13837,14208,13294,13088,13176,13769,13249,,,,,,,,
time_nsgaii_1,9274,8472,8873,8508,8563,8386,8570,,,,,,,,
time_nsgaii_2,13011,12721,13001,13005,13274,13269,12553,,,,,,,,
time_nsgaii_3,14292,14297,14097,14975,14658,14349,14077,,,,,,,,
time_nsgaii_4,6219,6556,6111,6303,6437,7036,6339,,,,,,,,
bestT_spea2,4320,4420,4420,4420,4320,4320,4420,,,,,,,,
bestT_nsgaii_1,4520,4720,4420,4320,4520,4420,4820,,,,,,,,
bestT_nsgaii_2,4620,4620,4820,4820,4980,4720,4820,,,,,,,,
bestT_nsgaii_3,4420,4320,4620,4520,4320,4320,4620,,,,,,,,
bestT_nsgaii_4,4620,4320,4620,4520,4520,4420,4920,,,,,,,,
bestU_spea2,67.15581644,68.63538296,68.63538296,67.15581644,68.63538296,68.63538296,68.63538296,,,,,,,,
bestU_nsgaii_1,67.15581644,66.33018328,67.15581644,65.84507042,67.23585912,67.38790407,66.71146953,,,,,,,,
bestU_nsgaii_2,67.15581644,68.63538296,68.63538296,68.63538296,67.15581644,67.15581644,67.15581644,,,,,,,,
bestU_nsgaii_3,67.15581644,67.15581644,67.15581644,68.63538296,68.63538296,67.15581644,68.63538296,,,,,,,,
bestU_nsgaii_4,66.33018328,67.59656652,65.98288076,65.87048832,67.09694415,67.23585912,66.156283,,,,,,,,
