iteration,n_SPEA2_2,n_NSGAII_1,n_NSGAII_2,n_NSGAII_3,n_NSGAII_4,C(NSGAII_1_SPEA2_2),"C(SPEA2_2,NSGAII_1)",C(NSGAII_2_SPEA2_2),"C(SPEA2_2,NSGAII_2)",C(NSGAII_3_SPEA2_2),"C(SPEA2_2,NSGAII_3)",C(NSGAII_4_SPEA2_2),"C(SPEA2_2,NSGAII_4)",HV(SPEA2_2),HV(NSGAII_1),HV(NSGAII_2),HV(NSGAII_3),HV(NSGAII_4)
1,16,23,17,22,14,0.625,0.304347826,0.25,0.058823529,0.4375,0.181818182,0.5625,0.214285714,40228200.39,40274795.06,40246015.7,40242053.73,39058049.25
2,13,12,23,19,18,0.307692308,0.5,0.307692308,0.130434783,0.230769231,0.631578947,0.461538462,0.277777778,42463267.12,39096698.99,42467374.5,40255444.75,40948624.27
3,13,24,24,16,22,0,1,0.230769231,0.041666667,0.230769231,0.75,0,0.954545455,42453352.77,40192469.19,42459375.61,40255851.58,38505205.51
4,16,15,24,22,20,0.25,0.133333333,0.9375,0,0.9375,0.045454545,0,0.65,40215107.74,38338661.49,42484714.21,42476388.89,38296070.81
5,23,22,15,22,16,0,0.772727273,0.260869565,0.666666667,0.304347826,0.136363636,0.130434783,0.6875,42461289.43,40370237.36,40264242.25,42473290.3,40200600.47
6,18,17,15,17,12,0.222222222,0.411764706,0.277777778,0.666666667,0.388888889,0.588235294,0.055555556,0.583333333,42447094.81,40616613.54,40261912.91,40255215.06,40362850.15
7,17,19,16,21,16,0,0.789473684,0.294117647,0.625,0.235294118,0,0.176470588,0.75,42454589.77,39551361.36,40257740.39,42464963.64,38770867.03
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
n_SPEA2_2,16,n_SPEA2_2,13,n_SPEA2_2,13,n_SPEA2_2,16,n_SPEA2_2,23,n_SPEA2_2,18,n_SPEA2_2,17,,,,,
n_NSGAII_1,23,n_NSGAII_1,12,n_NSGAII_1,24,n_NSGAII_1,15,n_NSGAII_1,22,n_NSGAII_1,17,n_NSGAII_1,19,,,,,
n_NSGAII_2,17,n_NSGAII_2,23,n_NSGAII_2,24,n_NSGAII_2,24,n_NSGAII_2,15,n_NSGAII_2,15,n_NSGAII_2,16,,,,,
n_NSGAII_3,22,n_NSGAII_3,19,n_NSGAII_3,16,n_NSGAII_3,22,n_NSGAII_3,22,n_NSGAII_3,17,n_NSGAII_3,21,,,,,
n_NSGAII_4,14,n_NSGAII_4,18,n_NSGAII_4,22,n_NSGAII_4,20,n_NSGAII_4,16,n_NSGAII_4,12,n_NSGAII_4,16,,,,,
C(NSGAII_1_SPEA2_2),0.625,C(NSGAII_1_SPEA2_2),0.307692308,C(NSGAII_1_SPEA2_2),0,C(NSGAII_1_SPEA2_2),0.25,C(NSGAII_1_SPEA2_2),0,C(NSGAII_1_SPEA2_2),0.222222222,C(NSGAII_1_SPEA2_2),0,,,,,
"C(SPEA2_2,NSGAII_1)",0.304347826,"C(SPEA2_2,NSGAII_1)",0.5,"C(SPEA2_2,NSGAII_1)",1,"C(SPEA2_2,NSGAII_1)",0.133333333,"C(SPEA2_2,NSGAII_1)",0.772727273,"C(SPEA2_2,NSGAII_1)",0.411764706,"C(SPEA2_2,NSGAII_1)",0.789473684,,,,,
C(NSGAII_2_SPEA2_2),0.25,C(NSGAII_2_SPEA2_2),0.307692308,C(NSGAII_2_SPEA2_2),0.230769231,C(NSGAII_2_SPEA2_2),0.9375,C(NSGAII_2_SPEA2_2),0.260869565,C(NSGAII_2_SPEA2_2),0.277777778,C(NSGAII_2_SPEA2_2),0.294117647,,,,,
"C(SPEA2_2,NSGAII_2)",0.058823529,"C(SPEA2_2,NSGAII_2)",0.130434783,"C(SPEA2_2,NSGAII_2)",0.041666667,"C(SPEA2_2,NSGAII_2)",0,"C(SPEA2_2,NSGAII_2)",0.666666667,"C(SPEA2_2,NSGAII_2)",0.666666667,"C(SPEA2_2,NSGAII_2)",0.625,,,,,
C(NSGAII_3_SPEA2_2),0.4375,C(NSGAII_3_SPEA2_2),0.230769231,C(NSGAII_3_SPEA2_2),0.230769231,C(NSGAII_3_SPEA2_2),0.9375,C(NSGAII_3_SPEA2_2),0.304347826,C(NSGAII_3_SPEA2_2),0.388888889,C(NSGAII_3_SPEA2_2),0.235294118,,,,,
"C(SPEA2_2,NSGAII_3)",0.181818182,"C(SPEA2_2,NSGAII_3)",0.631578947,"C(SPEA2_2,NSGAII_3)",0.75,"C(SPEA2_2,NSGAII_3)",0.045454545,"C(SPEA2_2,NSGAII_3)",0.136363636,"C(SPEA2_2,NSGAII_3)",0.588235294,"C(SPEA2_2,NSGAII_3)",0,,,,,
C(NSGAII_4_SPEA2_2),0.5625,C(NSGAII_4_SPEA2_2),0.461538462,C(NSGAII_4_SPEA2_2),0,C(NSGAII_4_SPEA2_2),0,C(NSGAII_4_SPEA2_2),0.130434783,C(NSGAII_4_SPEA2_2),0.055555556,C(NSGAII_4_SPEA2_2),0.176470588,,,,,
"C(SPEA2_2,NSGAII_4)",0.214285714,"C(SPEA2_2,NSGAII_4)",0.277777778,"C(SPEA2_2,NSGAII_4)",0.954545455,"C(SPEA2_2,NSGAII_4)",0.65,"C(SPEA2_2,NSGAII_4)",0.6875,"C(SPEA2_2,NSGAII_4)",0.583333333,"C(SPEA2_2,NSGAII_4)",0.75,,,,,
HV(SPEA2_2),40228200.39,HV(SPEA2_2),42463267.12,HV(SPEA2_2),42453352.77,HV(SPEA2_2),40215107.74,HV(SPEA2_2),42461289.43,HV(SPEA2_2),42447094.81,HV(SPEA2_2),42454589.77,,,,,
HV(NSGAII_1),40274795.06,HV(NSGAII_1),39096698.99,HV(NSGAII_1),40192469.19,HV(NSGAII_1),38338661.49,HV(NSGAII_1),40370237.36,HV(NSGAII_1),40616613.54,HV(NSGAII_1),39551361.36,,,,,
HV(NSGAII_2),40246015.7,HV(NSGAII_2),42467374.5,HV(NSGAII_2),42459375.61,HV(NSGAII_2),42484714.21,HV(NSGAII_2),40264242.25,HV(NSGAII_2),40261912.91,HV(NSGAII_2),40257740.39,,,,,
HV(NSGAII_3),40242053.73,HV(NSGAII_3),40255444.75,HV(NSGAII_3),40255851.58,HV(NSGAII_3),42476388.89,HV(NSGAII_3),42473290.3,HV(NSGAII_3),40255215.06,HV(NSGAII_3),42464963.64,,,,,
HV(NSGAII_4),39058049.25,HV(NSGAII_4),40948624.27,HV(NSGAII_4),38505205.51,HV(NSGAII_4),38296070.81,HV(NSGAII_4),40200600.47,HV(NSGAII_4),40362850.15,HV(NSGAII_4),38770867.03,,,,,
