iteration,"n_SPEA2_1,","n_NSGAII_2,","n_NSGAII_3,","n_NSGAII_4,",C(NSGAII_2_SPEA2_1),"C(SPEA2_1,NSGAII_2)",C(NSGAII_3_SPEA2_1),"C(SPEA2_1,NSGAII_3)",C(NSGAII_4_SPEA2_1),"C(SPEA2_1,NSGAII_4)",HV(SPEA2_1),HV(NSGAII_2),HV(NSGAII_3),HV(NSGAII_4)
1,25,15,13,24,0,0.933333333,0.52,0.625,0,1,47241724.5,44936119.01,45981419.88,40393175.84
2,27,19,18,12,0.518518519,0.421052632,1,0,1,0,42871118.77,41154866.19,47337479.97,49189482.72
3,31,17,7,32,0,1,0,1,0,1,53400163.91,38120739.61,42871979.94,42249687.8
4,40,11,16,27,0.6,0.181818182,0.825,0,0.15,0.875,43492181.1,43491240.27,45907362.93,38897077.82
5,21,8,23,23,1,0,0.761904762,0.52173913,0.904761905,0.086956522,40654468.64,46368569.54,49234692.31,54687226
6,29,13,32,31,0.413793103,0.076923077,0.482758621,0.35483871,0.344827586,0.40625,41225422.63,39416189.93,41884952.24,46564322.62
7,25,10,24,44,0.36,0,0.24,0.863636364,0.24,0.791666667,48280410.83,46131808.78,43503804.86,40857445.18
8,37,13,14,15,0.513513514,0.307692308,0,0.933333333,0.081081081,0.928571429,51474462.77,48668008.14,39441249.95,43205245.78
9,22,17,8,32,0,0.941176471,0,0.96875,0.272727273,0.625,48276978.3,46449744.92,43663013.91,43037629.11
10,17,10,23,28,0,0.8,0,1,0,1,47287900.84,38409235.92,42643371.39,35611289.99
